   2 영국	공중보건
   2 였습니다	현재
   2 연결	해봅니다
   2 여전히	1천
   2 여부	에
   2 여기는	정반대
   2 엔	6만
   2 에선	야외
   2 에서조차	마스크
   2 에서	학생
   2 에서	주말
   2 에서	일
   2 에서	KBS
   2 에서	15
   2 에도	갔었는데
   2 에는	반대
   2 에	한
   2 에	추가
   2 에	제동
   2 에	이어
   2 에	영국
   2 에	밀려
   2 에	대해
   2 에	대비
   2 에	나와
   2 에	100
   2 없었습니다	영국
   2 없다고	못
   2 어렵지만	여기는
   2 어떠한	제재
   2 어느	누구
   2 어가	고
   2 약	10
   2 야외	에서조차
   2 앵커	확
   2 앵커	그러면
   2 앵커	KBS
   2 앤드류	리
   2 앞	에
   2 않을	자유
   2 않은	시민
   2 않았습니다	이처럼
   2 않도록	해야
   2 않는	확산
   2 않고	행진
   2 않고	있습니다
   2 않겠다는	거
   2 안된다고	주장
   2 안내	동영상
   2 안	하고
   2 아니라	인플루엔자
   2 아니라	고
   2 아	교사
   2 쓰지	않고
   2 쓰자	입력
   2 쓰라고	권고
   2 쓰는	뉴
   2 쓰고	있지
   2 써야	한다고
   2 실시	하고
   2 신규	확
   2 시행	하려
   2 시작	동영상
   2 시작	BUTTON
   2 시위	를
   2 시사	o
   2 시민단체	들
   2 시민	천여
   2 시민	수백
   2 시도	할
   2 시간	입니다
   2 시각	영국
   2 수칙	을
   2 수치	입니다
   2 수치	보다는
   2 수준	을
   2 수정	202111
   2 수백	명
   2 수도	있습니다
   2 수가	늘어도
   2 수	있습니다
   2 수	있는데
   2 수	를
   2 수	는
   2 셰필드	대학
   2 세계	는
   2 세계	2
   2 세	에
   2 선택	영역
   2 선언	한
   2 서는	어떠한
   2 서	코로나
   2 서	정혁
   2 생각	합니다
   2 상황	이승재
   2 상태	인데
   2 상대로	접종
   2 상대	행정소송
   2 살	청소년
   2 살	이상
   2 살	에서
   2 사자	들
   2 사망자	는
   2 뿐	만
   2 불완전	접종
   2 북미	정상회담
   2 부터	보도
   2 부자	들
   2 부	o
   2 볼	수
   2 보호	할
