  27 L	Express
  18 de	la
  17 de	l
  12 que	les
  11 passe	sanitaire
  10 la	vaccination
  10 c	est
  10 Covid	19
   8 à	la
   8 extrême	droite
   7 sont	pas
   7 ne	sont
   7 n	est
   7 mouvement	antivax
   7 les	vaccins
   7 et	la
   7 d	extrême
   7 C	est
   6 à	Paris
   6 réseaux	sociaux
   6 que	nous
   6 pour	la
   6 les	personnes
   6 les	antivax
   6 le	mouvement
   6 la	vie
   6 la	une
   6 dans	les
   6 d	une
   6 chez	les
   6 Paris	le
   6 Je	m
   5 À	découvrir
   5 y	a
   5 qu	ils
   5 qu	il
   5 pour	les
   5 personnes	qui
   5 m	abonne
   5 les	plus
   5 le	passe
   5 l	extrême
   5 et	les
   5 est	pas
   5 dans	la
   5 d	un
   5 contre	le
   5 chroniques	de
   5 ceux	qui
   5 Derniers	articles
   4 une	partie
   4 qui	sont
   4 que	vous
   4 pour	l
   4 portrait	robot
   4 pas	forcément
   4 partis	politiques
   4 nous	avons
   4 les	réseaux
   4 les	partis
   4 les	mouvements
   4 les	hommes
   4 le	gouvernement
   4 le	Covid
   4 la	radicalisation
   4 la	majorité
   4 la	grande
   4 il	y
   4 il	n
   4 extrême	gauche
   4 en	France
   4 du	gouvernement
   4 discours	antivax
   4 dire	que
   4 des	personnes
   4 des	antivax
   4 de	L
   4 dans	une
   4 dans	le
   4 contre	les
   4 antivax	qui
   4 antivax	et
   4 LIRE	AUSSI
   4 K	Ward
   4 Jeremy	K
   4 Express	Placements
   4 Express	Canada
   4 Dossiers	à
   3 à	un
   3 à	risque
   3 à	dire
   3 vraiment	les
   3 vous	avez
   3 vote	Qui
   3 vie	réelle
   3 va	t
   3 sur	le
   3 sur	la
   3 sont	vraiment
   3 sont	très
   3 sera	disponible
   3 sans	engagement
   3 sanitaire	à
   3 qui	produisent
   3 qui	ont
   3 qui	ne
   3 qui	est
   3 que	la
   3 que	cela
   3 possible	de
   3 peu	de
   3 pas	de
   3 ne	faut
   3 majorité	des
   3 lors	d
   3 les	données
   3 les	Français
   3 le	même
   3 le	23
   3 la	science
   3 la	population
   3 l	épidémie
   3 l	article
   3 juillet	2021
   3 il	existe
   3 il	est
   3 gens	se
   3 faut	pas
   3 et	qui
   3 est	également
   3 est	un
   3 est	que
   3 est	plus
   3 est	le
   3 est	ce
   3 en	place
   3 en	général
   3 découvrir	L
   3 du	complot
   3 des	médecines
   3 de	ces
   3 d	être
   3 beaucoup	plus
   3 avec	l
   3 avant	2009
   3 anti	passe
   3 Voir	plus
   3 Sur	le
   3 Revenus	vote
   3 Qui	sont
   3 John	McWhorter
   3 Il	est
   3 Français	antivax
   2 étude	de
   2 étendront	enfin
   2 à	votre
   2 à	trois
   2 à	se
   2 À	la
   2 with	Sketch
   2 vous	regardez
   2 votre	abonnement
   2 vie	sous
   2 vice	président
   2 veux	plus
   2 veut	pas
   2 vaccins	sont
   2 vaccins	et
   2 vaccination	et
   2 vaccin	contre
   2 vaccin	Moderna
   2 une	étude
   2 une	pharmacie
   2 une	personne
   2 une	moindre
   2 une	manifestation
   2 une	enquête
   2 une	dose
   2 une	critique
   2 une	connexion
   2 une	Les
   2 un	test
   2 un	sondage
   2 un	peu
   2 un	mouvement
   2 un	faible
   2 un	débat
   2 un	discours
   2 un	des
   2 un	compagnon
   2 un	Noël
   2 très	présents
   2 trois	mois
   2 tri	du
   2 théories	du
   2 test	de
   2 tendance	à
   2 t	il
   2 sur	votre
   2 submerger	les
   2 subir	un
   2 sous	Covid
   2 son	péché
   2 société	CNRS
   2 sociologue	au
   2 six	à
   2 sites	complotistes
   2 seulement	27
   2 serait	donc
   2 sentiment	antivax
   2 selon	un
   2 se	vacciner
   2 se	rassemblent
   2 science	santé
   2 science	modération
   2 savoir	si
   2 santé	et
   2 sans	rechigner
   2 sanitaire	n
   2 sanitaire	découvrez
   2 sa	gestion
   2 sa	croyance
   2 s	il
   2 s	agit
   2 s	France
   2 risque	à
   2 revivre	en
   2 revenus	NDLR
   2 représentent	entre
   2 rechigner	le
   2 recherche	médecine
   2 rassemblent	lors
   2 rappel	de
   2 qui	s
   2 qui	rejettent
   2 qui	refusent
